Buyer,Greater100,Greater105,Greater110,Purchase Count,Market Share,Particular Market Share,Purchase Age,Inverse Age
Overdrive Motors Inc,0,0,0,7,0.0011895598628507453,0.012451790953166939,129.0,0.007751937984496124
Malik Fine Cars Ltd,4,0,0,6,0.0009096634245329228,0.043196856906534326,209.33333333333334,0.006480617744610282
Prime Line Auto Group,0,0,0,6,0.0007347281505842838,0.019694364160160596,,
Ranchland Honda,6,6,5,6,0.0016968721573017984,0.035408185882569186,212.0,0.0047169811320754715
Mr. Automotives,0,0,0,6,0.0002274158561332307,0.010397485152649844,121.0,0.008264462809917356
Simard et Freres Automobiles Ltee,0,0,0,6,0.0001574417465537751,0.010397485152649844,190.0,0.005263157894736842
Midtown Motors,6,6,6,6,0.002274158561332307,0.010397485152649844,,
Nexus Auto Group Ltd.,2,2,2,6,0.0009446504793226507,0.04619017499472907,69.2,0.022631722631722632
Buy Metro Preowned Auto Sales Ltd.,3,2,2,6,0.0028164579105730884,0.04317209085515722,124.0,0.009065372829417773
Steve Marshall Motors 1996 ltd,4,4,4,6,0.0042159401021622,0.0353057048007384,172.83333333333334,0.005859542246198638
D & L Motors Inc,5,5,5,5,0.0008396893149534672,0.08295739348370927,271.0,0.0036913525945474444
1292448 Ontario Limited - Used Trucks Ottawa,3,2,2,5,0.000524805821845917,0.03262032085561497,218.2,0.0048715796319025945
Carvendor Inc.,0,0,0,5,0.000174935273948639,0.016373317680600394,,
Automobiles Christian Beauvais Inc,5,5,0,5,0.0008571828423483311,0.016373317680600394,249.0,0.004016064257028112
Titanium Auto Group Ltd - BC,5,5,5,5,0.0013644951367993842,0.016373317680600394,277.0,0.0036101083032490976
1302164 B.C Ltd - Penticton Honda,5,5,5,5,0.0020642362325939403,0.08004329004329004,151.0,0.006669912366114898
Les Importations Burelle,5,0,0,5,0.0007697152053740117,0.027105207674467634,,
Saskatoon Auto Connection Inc,5,5,0,5,0.0006472605136099643,0.016373317680600394,148.0,0.006756756756756757
2244434 Ontario Inc - 417 Auto Sales,4,4,4,5,0.0006122734588202366,0.035012569130216185,107.8,0.010870250980856056
401 Auto RV Canada Inc. - Cambridge,1,0,0,5,0.0008746763697431951,0.17060041407867493,67.6,0.018561584840654607
Elite Auto Group - USA,1,1,1,5,0.003481211951577916,0.017102911843847088,,
Carizma Auto Group,5,5,5,5,0.0005597928766356449,0.03218457275383272,262.0,0.003869424511045448
1068827 Ontario Inc. - Grace Motors,5,5,5,5,0.0006647540410048283,0.016373317680600394,267.0,0.003745318352059925
Bridge Fleet LLC,3,3,3,4,0.0007697152053740117,0.0742690058479532,148.0,0.006756756756756757
Hinton Chrysler,0,0,0,4,0.0022566650339374433,0.015564686316436767,281.0,0.0035587188612099642
United Stars Auto Ltd,1,0,0,4,0.00043733818487159753,0.043834555098635195,220.75,0.004974028987313116
Carevo Auto Solutions,2,1,0,4,0.0012595339724302008,0.14761904761904762,140.0,0.008781628863961765
G&G Auto,0,0,0,4,0.0004023511300818697,0.026969475733555834,81.5,0.01579457364341085
Joe Motor Ltd,4,0,0,4,0.00043733818487159753,0.025816993464052286,,
Upper Canada Chevrolet Inc.,4,0,0,4,1.7493527394863902e-05,0.015564686316436767,175.0,0.005714285714285714
Olivier Kia McMasterville,2,2,2,4,0.0009271569519277868,0.08825051759834368,95.5,0.010575858250276855
Carleton Place Ford Inc.,4,3,3,4,0.0011720663354558814,0.055741360089186176,143.0,0.007165304839723444
Keezee Auto,0,0,0,4,0.0016618851025120705,0.05425266597867217,65.5,0.017124522315956448
Carmoji.ca,4,4,4,4,0.0013819886641942482,0.024731182795698928,,
Toplane Auto Group,0,0,0,4,0.0002624029109229585,0.025816993464052286,99.0,0.010101010101010102
Openroad Infiniti Langley - OpenRoad Auto Group Limited,4,4,4,4,0.000524805821845917,0.06547619047619047,251.75,0.003976286871023713
Silverstar Automotive Solutions,4,4,0,4,0.0002099223287383668,0.025816993464052286,267.0,0.003745318352059925
Kingwest Motors,4,4,0,4,0.0005947799314253726,0.024731182795698928,99.0,0.010101010101010102
Albi Le Geant,0,0,0,4,0.005055629417115667,0.08514492753623187,41.5,0.024096385542168676
Approval Team Inc.,4,2,2,4,0.0004548317122664614,0.03354982526467263,220.0,0.004545454545454545
Nubridge Auto Center Inc,0,0,0,4,1.7493527394863902e-05,0.024731182795698928,,
Atlantic Mazda,4,4,3,4,0.0015744174655377512,0.05158730158730159,,
1237321 Alberta Inc - Wild Mile Auto Sales,0,0,0,4,0.00019242880134350291,0.024731182795698928,,
Westwind Honda,4,4,2,4,0.0005772864040305087,0.08167016806722689,257.5,0.0038899631397667535
Motortrendz,1,1,1,4,0.001731859212091526,0.08254245754245754,144.0,0.007033315705975675
Moto Auto Ltd,4,4,4,4,0.0019067944860401652,0.05582419944122072,165.25,0.006165998269149714
East Coast Financing,0,0,0,4,0.0005772864040305087,0.023480717559664927,34.0,0.029411764705882353
Lucky Motorcars Inc,1,1,1,4,0.0001924288013435029,0.056763285024154585,162.83333333333334,0.006156504176324226
Easy Global Trade Inc.,2,0,0,4,0.0009796375341123785,0.043424908424908426,57.0,0.017543859649122806
9347828 Canada Inc - Car City,2,2,2,4,0.0013295080820096565,0.05771813883516011,,
AutoRev,0,0,0,4,0.0012595339724302008,0.025816993464052286,239.0,0.0041841004184100415
Entreprise Brothers,0,0,0,4,0.0011720663354558814,0.023480717559664927,269.0,0.0037174721189591076
Rteen Auto Ltd.,4,0,0,4,0.0008746763697431951,0.025816993464052286,277.0,0.0036101083032490976
Selective Autoland Inc,4,4,4,4,6.997410957945561e-05,0.025816993464052286,94.0,0.010638297872340425
88 Auto On Mcphillips Inc.,4,4,4,4,0.00013994821915891122,0.025816993464052286,,
European Specialty Automotive,1,1,0,3,0.000174935273948639,0.25,186.0,0.005376344086021506
