Make,Model,Year,Trim,Buyer,Greater100,Greater105,Greater110,Purchase Count,Market Share,Particular Market Share,Purchase Age,Inverse Age
Ford,F-150,2019,XLT 4WD SuperCrew 6.5' Box,Steele Ford Lincoln,1,0,0,2,8.74676369743195e-05,0.017391304347826087,188.0,0.005319148936170213
Ford,F-150,2019,XLT 4WD SuperCrew 6.5' Box,Pioneer Chrysler BC,1,1,1,1,0.010478622909523476,0.008695652173913044,179.0,0.00558659217877095
Ford,F-150,2019,XLT 4WD SuperCrew 6.5' Box,Mr. Automotives,0,0,0,1,0.0002274158561332307,0.008695652173913044,121.0,0.008264462809917356
Ford,F-150,2019,XLT 4WD SuperCrew 6.5' Box,Overdrive Motors Inc,0,0,0,1,0.0011895598628507453,0.008695652173913044,129.0,0.007751937984496124
Ford,F-150,2019,XLT 4WD SuperCrew 6.5' Box,Pacific Nations Auto Sales And Finance Ltd,0,0,0,1,0.0008047022601637394,0.008695652173913044,129.0,0.007751937984496124
Ford,F-150,2019,XLT 4WD SuperCrew 6.5' Box,Midtown Motors,1,1,1,1,0.002274158561332307,0.008695652173913044,,
Ford,F-150,2019,XLT 4WD SuperCrew 6.5' Box,Pickard Lane Leasing,1,0,0,1,0.0036386536981316913,0.008695652173913044,217.0,0.004608294930875576
Ford,F-150,2019,XLT 4WD SuperCrew 6.5' Box,Shahnawaz Enterprises Inc - SMS Motors,0,0,0,1,0.0033062766776292773,0.008695652173913044,107.0,0.009345794392523364
Hyundai,Elantra,2017,4dr Sdn Auto GL,2970-7528 Quebec Inc - H Gregoire/Lane1,4,4,2,4,0.009219088937093275,0.13333333333333333,182.0,0.005494505494505495
Hyundai,Elantra,2017,4dr Sdn Auto GL,9324-9068 Quebec Inc ( Autos Rr ),2,1,0,3,0.003131341403680638,0.1,110.0,0.00909090909090909
Hyundai,Elantra,2017,4dr Sdn Auto GL,2120004 Alberta Ltd - Diamond Motors,1,1,1,1,0.002221677979147715,0.03333333333333333,156.0,0.00641025641025641
Hyundai,Elantra,2017,4dr Sdn Auto GL,Ehab's Auto Inc.,0,0,0,1,0.0008921698971380589,0.03333333333333333,101.0,0.009900990099009901
Hyundai,Elantra,2017,4dr Sdn Auto GL,Tricity Auto,1,1,0,1,0.0015044433559582954,0.03333333333333333,241.0,0.004149377593360996
Hyundai,Elantra,2017,4dr Sdn Auto GL,Toronto Auto Group - Sudbury,1,0,0,1,0.0007522216779791477,0.03333333333333333,,
Hyundai,Elantra,2017,4dr Sdn Auto GL,Scarborough Auto Group - Octane Used Cars,1,1,1,1,0.0009446504793226506,0.03333333333333333,210.0,0.004761904761904762
Hyundai,Elantra,2017,4dr Sdn Auto GL,Mitsubishi Joliette,1,1,1,1,0.00013994821915891122,0.03333333333333333,,
Hyundai,Elantra,2017,4dr Sdn Auto GL,Milestone Motors,1,1,1,1,0.0006822475683996921,0.03333333333333333,,
Hyundai,Elantra,2017,4dr Sdn Auto GL,Key West Auto Inc.,1,0,0,1,0.0007347281505842838,0.03333333333333333,,
Hyundai,Elantra,2017,4dr Sdn Auto GL,Jiyash Auto Sales Ltd.,0,0,0,1,0.000174935273948639,0.03333333333333333,248.0,0.004032258064516129
Hyundai,Elantra,2017,4dr Sdn Auto GL,Good Deal Motors Ltd.,0,0,0,1,0.0001049611643691834,0.03333333333333333,51.0,0.0196078431372549
