Make,Model,Year,Trim,Buyer,Greater100,Greater105,Greater110,Purchase Count,Market Share,Particular Market Share
Ford,F-150,2020,XLT 4WD SuperCrew 5.5' Box,Shahnawaz Enterprises Inc - SMS Motors,0,0,0,1,0.0033062766776292773,0.012048192771084338
Ford,F-150,2020,XLT 4WD SuperCrew 5.5' Box,2547945 Ontario Inc,0,0,0,1,0.0024490938352809462,0.012048192771084338
Ford,F-150,2020,XLT 4WD SuperCrew 5.5' Box,Steele Ford Lincoln,0,0,0,1,8.74676369743195e-05,0.012048192771084338
Ford,F-150,2020,XLT 4WD SuperCrew 6.5' Box,Automobiles Paille Inc.,4,3,1,12,0.02323140438037926,0.14634146341463414
Ford,F-150,2020,XLT 4WD SuperCrew 6.5' Box,Bridge Valley,2,2,1,12,0.021954376880554197,0.14634146341463414
Ford,F-150,2020,XLT 4WD SuperCrew 6.5' Box,R.S. Car Sales Ltd,0,0,0,5,0.003936043663844377,0.06097560975609756
Ford,F-150,2020,XLT 4WD SuperCrew 6.5' Box,Gateway Leasing - East,0,0,0,4,0.0063326569169407316,0.04878048780487805
Ford,F-150,2020,XLT 4WD SuperCrew 6.5' Box,Gateway Leasing,1,1,1,4,0.008466867259114127,0.04878048780487805
Ford,F-150,2020,XLT 4WD SuperCrew 6.5' Box,Explorer Van Canada,2,1,0,4,0.0016968721573017984,0.04878048780487805
Ford,F-150,2020,XLT 4WD SuperCrew 6.5' Box,1202894 Ontario Inc - Edwards Mazda,2,2,2,3,0.002484080890070674,0.036585365853658534
Ford,F-150,2020,XLT 4WD SuperCrew 6.5' Box,Sundance Chevrolet,2,2,1,2,0.012070533902456092,0.024390243902439025
Ford,F-150,2020,XLT 4WD SuperCrew 6.5' Box,1716858 Ontario Inc.,0,0,0,2,0.0028864320201525437,0.024390243902439025
Ford,F-150,2020,XLT 4WD SuperCrew 6.5' Box,2776588 Ontario Limited - Trucktown,0,0,0,2,0.00851934784129872,0.024390243902439025
Ford,F-150,2020,XLT 4WD SuperCrew 6.5' Box,Midcan Brokers Inc.,0,0,0,2,0.003341263732419005,0.024390243902439025
Ford,F-150,2020,XLT 4WD SuperCrew 6.5' Box,Automobile Endirect.com,1,1,0,1,0.008956686026170318,0.012195121951219513
Ford,F-150,2020,XLT 4WD SuperCrew 6.5' Box,Punjab Motors Ltd.,0,0,0,1,0.0003148834931075502,0.012195121951219513
Ford,F-150,2020,XLT 4WD SuperCrew 6.5' Box,Pacific Nations Auto Sales And Finance Ltd,0,0,0,1,0.0008047022601637394,0.012195121951219513
Ford,F-150,2020,XLT 4WD SuperCrew 6.5' Box,Pickard Lane Leasing,1,0,0,1,0.0036386536981316913,0.012195121951219513
Ford,F-150,2020,XLT 4WD SuperCrew 6.5' Box,Pioneer Chrysler BC,1,0,0,1,0.010478622909523476,0.012195121951219513
Ford,F-150,2020,XLT 4WD SuperCrew 6.5' Box,Prime Line Auto Group,0,0,0,1,0.0007347281505842838,0.012195121951219513
Ford,F-150,2020,XLT 4WD SuperCrew 6.5' Box,2547945 Ontario Inc,0,0,0,1,0.0024490938352809462,0.012195121951219513
Ford,F-150,2020,XLT 4WD SuperCrew 6.5' Box,Shahnawaz Enterprises Inc - SMS Motors,0,0,0,1,0.0033062766776292773,0.012195121951219513
Ford,F-150,2020,XLT 4WD SuperCrew 6.5' Box,Steele Ford Lincoln,0,0,0,1,8.74676369743195e-05,0.012195121951219513
