Make,Model,Buyer,Greater100,Greater105,Greater110,Purchase Count,Market Share,Particular Market Share,Purchase Age,Inverse Age
Ford,Escape,KPS Auto Service,3,3,3,10,0.0006297669862151004,0.0076045627376425855,120.33333333333333,0.008310249307479225
Ford,Escape,Speedbit Inc.,7,7,6,10,0.001591910992932615,0.0076045627376425855,138.375,0.007226738934056007
Ford,Escape,Gundhu Auto Sales Ltd,3,2,2,9,0.0019767685956196207,0.006844106463878327,153.25,0.0065252854812398045
Ford,Escape,AutoRev,2,1,1,9,0.0012595339724302008,0.006844106463878327,137.71428571428572,0.007261410788381742
Ford,Escape,Beta Auto,5,4,4,9,0.003533692533762508,0.006844106463878327,146.0,0.00684931506849315
Ford,Escape,Corcon Auto Sales,7,4,1,8,0.001591910992932615,0.006083650190114068,190.5,0.005249343832020997
Ford,Escape,Tala Auto Select,4,3,3,8,0.005475474074592401,0.006083650190114068,171.5,0.0058309037900874635
Ford,Escape,DO NOT USE - First Choice Motors,3,2,1,8,0.002414106780491218,0.006083650190114068,191.83333333333334,0.0052128583840139004
Ford,Escape,9324-9068 Quebec Inc ( Autos Rr ),3,2,0,8,0.003131341403680638,0.006083650190114068,85.66666666666667,0.011673151750972763
Ford,Escape,Yosh Shmenge Remarketing,2,2,0,8,0.003533692533762508,0.006083650190114068,181.33333333333334,0.005514705882352941
Hyundai,Elantra,2970-7528 Quebec Inc - H Gregoire/Lane1,21,20,15,35,0.009219088937093275,0.0277337559429477,138.6,0.007215007215007215
Hyundai,Elantra,Saint-Laurent Hyundai,25,19,17,27,0.0020292491778042127,0.021394611727416798,139.0909090909091,0.00718954248366013
Hyundai,Elantra,Courtier Automobile Superieur,19,18,16,20,0.0034987054789727802,0.01584786053882726,228.85714285714286,0.004369538077403246
Hyundai,Elantra,DO NOT USE - First Choice Motors,13,12,10,19,0.002414106780491218,0.015055467511885896,202.72727272727272,0.004932735426008969
Hyundai,Elantra,7109172 Canada Inc - Auto Shelby,13,12,10,19,0.0014519627737737037,0.015055467511885896,158.0,0.006329113924050633
Hyundai,Elantra,Autorama 2000 Inc.,17,14,12,18,0.005860331677279407,0.014263074484944533,167.76923076923077,0.005960568546538285
Hyundai,Elantra,7767579 Canada Inc - Nexgen Cars Canada,13,12,10,18,0.0036036666433419636,0.014263074484944533,156.63636363636363,0.006384213580963436
Hyundai,Elantra,Beta Auto,14,12,10,17,0.003533692533762508,0.01347068145800317,190.15384615384616,0.0052588996763754045
Hyundai,Elantra,Demirci Auto,10,9,7,16,0.002484080890070674,0.012678288431061807,114.85714285714286,0.008706467661691543
Hyundai,Elantra,401 Dixie Hyundai,12,10,7,14,0.0006647540410048283,0.011093502377179081,222.85714285714286,0.004487179487179487
Hyundai,Elantra,Myers Barrhaven Hyundai,13,12,12,14,0.00143446924637884,0.011093502377179081,163.875,0.006102212051868803
Hyundai,Elantra,9209-5462 Qc Inc,6,4,1,14,0.0050031488349310755,0.011093502377179081,142.11111111111111,0.007036747458952306
Hyundai,Elantra,FCM Corporation Inc,5,5,5,13,0.00215170386956826,0.010301109350237718,99.0,0.010101010101010102
Hyundai,Elantra,Ehab's Auto Inc.,9,9,6,13,0.0008921698971380589,0.010301109350237718,147.2,0.006793478260869566
Hyundai,Elantra,2724367 Ontario Limited - Ontario Auto Outlet,9,9,9,11,0.000524805821845917,0.008716323296354992,187.5,0.005333333333333333
Hyundai,Elantra,Tabangi Motors,9,9,9,11,0.003656147225526555,0.008716323296354992,147.9,0.0067613252197430695
Hyundai,Elantra,Rideau Valley Motors Inc.,11,11,3,11,0.0011545728080610174,0.008716323296354992,265.0,0.0037735849056603774
