,Make,Model,Year,Trim,Buyer,Greater100,Greater105,Greater110,Purchase Count,Market Share,Particular Market Share,Purchase Age,Inverse Age
71,Ford,Escape,2017,4WD 4dr SE,Magog Honda,0,0,0,1,8.74676369743195e-05,0.029411764705882353,130.0,0.007692307692307693
72,Ford,Escape,2017,4WD 4dr SE,Key West Auto Inc.,0,0,0,1,0.0007347281505842838,0.029411764705882353,,
73,Ford,Escape,2017,4WD 4dr SE,Direct Auto Sales,0,0,0,1,0.0014869498285634316,0.029411764705882353,239.0,0.0041841004184100415
74,Ford,Escape,2017,4WD 4dr SE,DO NOT USE - First Choice Motors,0,0,0,1,0.002414106780491218,0.029411764705882353,218.0,0.0045871559633027525
75,Ford,Escape,2017,4WD 4dr SE,Belleau Auto Inc,1,1,1,1,0.0010321181162969702,0.029411764705882353,,
76,Ford,Escape,2017,4WD 4dr SE,Brown's Volkswagen - Sherwood AutoHaus Ltd,1,1,1,1,0.0007697152053740117,0.029411764705882353,155.0,0.0064516129032258064
77,Ford,Escape,2017,4WD 4dr SE,2244434 Ontario Inc - 417 Auto Sales,1,1,1,1,0.0006122734588202366,0.029411764705882353,87.0,0.011494252873563218
78,Ford,Escape,2017,4WD 4dr SE,Baz Auto Pre Owned Cars And Trucks,1,1,1,1,8.74676369743195e-05,0.029411764705882353,93.0,0.010752688172043012
79,Ford,Escape,2017,4WD 4dr SE,Automobile Endirect.com,1,0,0,1,0.008956686026170318,0.029411764705882353,150.0,0.006666666666666667
80,Ford,Escape,2017,4WD 4dr SE,Auto Rev Inc,0,0,0,1,0.0014869498285634316,0.029411764705882353,,
81,Ford,Escape,2017,4WD 4dr SE,Albi Chevrolet Buick GMC Corvette,1,1,1,1,6.997410957945561e-05,0.029411764705882353,85.0,0.011764705882352941
82,Ford,Escape,2017,4WD 4dr SE,A & B Ford Sales Ltd,0,0,0,1,5.24805821845917e-05,0.029411764705882353,157.0,0.006369426751592357
83,Ford,Escape,2017,4WD 4dr SE,9324-9068 Quebec Inc ( Autos Rr ),0,0,0,1,0.003131341403680638,0.029411764705882353,106.0,0.009433962264150943
84,Ford,Escape,2017,4WD 4dr SE,9300-0032 Quebec Inc - Simon's Auto Groupe,1,1,0,1,0.0028339514379679518,0.029411764705882353,120.0,0.008333333333333333
85,Ford,Escape,2017,4WD 4dr SE,401 Auto RV Canada Inc - Cambridge,0,0,0,1,0.0034112378419984607,0.029411764705882353,,
86,Ford,Escape,2017,4WD 4dr SE,3274232 Nova Scotia - Driving Time Auto,0,0,0,1,0.000349870547897278,0.029411764705882353,252.0,0.003968253968253968
87,Ford,Escape,2017,4WD 4dr SE,2334052 Ontario Inc - Sam's Auto,0,0,0,1,0.0002449093835280946,0.029411764705882353,85.0,0.011764705882352941
88,Ford,Escape,2017,4WD 4dr SE,Westwind Honda,1,1,0,1,0.0005772864040305087,0.029411764705882353,268.0,0.0037313432835820895
